travelCode,User_ID,flightType,Flight_agency,Departure_date,Departure,Arrival,Flight Distance (km),Flight Duration (hh:mm),Departure Time,Arrival Time,flight_number
35647,341,firstClass,SpiceJet,15/04/2021,Navi Mumbai,Guwahati,2077.46,02:18,06:18,08:36,SG1796
35648,341,premium,SpiceJet,22/04/2021,Dhubri,Surat,1826.57,02:01,20:12,22:13,SG1775
35650,341,premium,Akasa Air,05/06/2021,Gwalior,Jamshedpur,895.41,00:59,10:54,11:53,QP2106
35653,341,economic,IndiGo,27/05/2021,Khowai,Hisar,6682.72,07:25,23:39,07:04,6E2395
35654,341,economic,Akasa Air,06/03/2021,Nashik,Vijayawada,821.23,00:54,08:11,09:05,QP2235
35657,341,premium,Akasa Air,24/06/2021,Puri,Shimla,1527.04,01:41,22:27,00:08,QP3856
35661,341,premium,Akasa Air,22/07/2021,Surat,Bhubaneswar,1355.8,01:30,06:16,07:46,QP4713
35662,341,premium,Air India,29/07/2021,Itanagar,Chandigarh,1685.02,01:52,15:11,17:03,AI1747
35664,341,premium,SpiceJet,08/12/2021,Patna,Ahmedabad,1302.68,01:26,20:17,21:43,SG1565Y
35665,341,economic,Akasa Air,19/08/2021,Bhubaneswar,Chennai,993.87,01:06,19:00,20:06,QP2653
35667,341,economic,IndiGo,09/02/2021,Puri,Puducherry,1084.01,01:12,02:25,03:37,6E2504
35674,341,premium,SpiceJet,21/10/2021,Varanasi,Puri,678.21,00:45,22:48,23:33,SG866
35675,341,firstClass,AirAsia India,28/10/2021,Kullu-Manali,Ludhiana,163.54,00:10,12:51,13:01,I53639
35677,341,firstClass,GoAir,11/11/2021,Shillong,Chennai,1843.95,02:02,10:11,12:13,G81739
35678,341,economic,SpiceJet,18/11/2021,Bengaluru,Mysuru,127.83,00:08,12:17,12:25,SG676
35688,341,economic,Air India,27/01/2022,Shillong,Jamshedpur,654.58,00:43,06:28,07:11,AI420
35689,341,economic,SpiceJet,02/03/2022,Hisar,Thiruvananthapuram,6560.28,07:17,13:15,20:32,SG195
35691,341,firstClass,AirAsia India,17/02/2022,Puri,Jamshedpur,336.17,00:22,10:04,10:26,I52555
35693,341,firstClass,Air India,03/03/2022,Visakhapatnam,Gwalior,1082.57,01:12,22:00,23:12,AI3088
35695,341,firstClass,IndiGo,17/03/2022,Mysuru,Itanagar,2415.34,02:41,21:53,00:34,6E2143
35701,341,firstClass,Air India,28/04/2022,Kota,Vijayawada,3202.71,03:33,17:26,20:59,AI638J
35706,341,economic,SpiceJet,06/02/2022,Raipur,Kota,3130.57,03:28,17:25,20:53,SG3600
35711,341,economic,Air India,07/07/2022,Thiruvananthapuram,Ayodhya,2110.33,02:20,12:00,14:20,AI2518
35713,341,firstClass,Air India,21/07/2022,Diu,Vijayawada,1120.32,01:14,02:58,04:12,AI201
35714,341,firstClass,GoAir,28/07/2022,Raipur,Varanasi,475.32,00:31,17:48,18:19,G83054
35717,341,premium,Air India,18/08/2022,Udaipur,Chennai,1452.49,01:36,08:06,09:42,AI1526
35718,341,firstClass,Akasa Air,25/08/2022,Ayodhya,Kolkata,780.2,00:52,07:28,08:20,QP5178Q
35719,341,economic,Air India,09/01/2022,Thiruvananthapuram,Bhopal,1642.97,01:49,05:42,07:31,AI1394
35720,341,firstClass,AirAsia India,09/08/2022,Jamshedpur,Dhubri,525.22,00:35,01:37,02:12,I51093
35726,341,premium,IndiGo,20/10/2022,Amritsar,Navi Mumbai,1411.79,01:34,21:48,23:22,6E4856
35734,341,economic,Akasa Air,15/12/2022,Jamshedpur,Puducherry,1383.4,01:32,13:16,14:48,QP1262
35738,341,firstClass,Akasa Air,01/12/2023,Puducherry,Patna,1617.8,01:47,21:46,23:33,QP5734W
35740,341,firstClass,Air India,26/01/2023,Jaipur,Vadodara,576.09,00:38,07:22,08:00,AI5979
35741,341,economic,Akasa Air,02/02/2023,Hisar,Jaipur,5187.47,05:45,04:52,10:37,QP5223
35742,341,firstClass,IndiGo,02/09/2023,Navi Mumbai,Bilaspur,1009.67,01:07,09:31,10:38,6E3554
35746,342,economic,SpiceJet,26/09/2019,Puri,Jaipur,1293.96,01:26,13:56,15:22,SG2474
35749,342,premium,IndiGo,17/10/2019,Pune,Hyderabad,502.79,00:33,16:36,17:09,6E5287
35751,342,firstClass,GoAir,31/10/2019,Dhubri,Ludhiana,1483.24,01:38,05:10,06:48,G85022
35752,342,firstClass,AirAsia India,11/07/2019,Hisar,Raipur,6034.45,06:42,22:59,05:41,I52664
35754,342,firstClass,AirAsia India,21/11/2019,Nashik,Chennai,1033.3,01:08,11:44,12:52,I51294
35755,342,firstClass,Akasa Air,28/11/2019,Raigarh,Vadodara,1050.43,01:10,11:37,12:47,QP535P
35761,342,premium,Air India,01/09/2020,Mopa,Dhubri,9027.81,10:01,06:14,16:15,AI1671
35766,342,firstClass,IndiGo,13/02/2020,Prayagraj,Vadodara,944.84,01:02,03:47,04:49,6E5535
35769,342,firstClass,SpiceJet,03/05/2020,Kota,Bhopal,2656.3,02:57,05:57,08:54,SG2692M
35783,342,firstClass,Air India,06/11/2020,Navi Mumbai,Ahmedabad,445.78,00:29,11:48,12:17,AI4904
35784,342,firstClass,AirAsia India,18/06/2020,Coimbatore,Dhubri,2157.8,02:23,11:21,13:44,I51607
35787,342,economic,SpiceJet,07/09/2020,Ayodhya,Nashik,1143.55,01:16,19:18,20:34,SG5176
35791,342,premium,Akasa Air,08/06/2020,Tirupati,Mopa,8027.45,08:55,13:13,22:08,QP5976
35792,342,economic,Akasa Air,13/08/2020,Raigarh,Hisar,6138.21,06:49,00:18,07:07,QP2605
35798,342,premium,SpiceJet,24/09/2020,Udaipur,Hisar,5157.55,05:43,15:06,20:49,SG5501
35799,342,premium,SpiceJet,10/01/2020,Diu,Mopa,7107.13,07:53,14:59,22:52,SG2871
35800,342,firstClass,Air India,10/08/2020,Udaipur,Mumbai,618.98,00:41,00:05,00:46,AI5943
35807,342,premium,IndiGo,26/11/2020,Kota,Gangtok,3712.59,04:07,07:14,11:21,6E1497
35816,342,economic,Air India,28/01/2021,Nashik,Bengaluru,879.99,00:58,16:45,17:43,AI2652
35820,342,economic,IndiGo,25/02/2021,Gangtok,Prayagraj,705.83,00:47,10:14,11:01,6E144
35824,342,premium,Air India,25/03/2021,Indore,Srinagar,1268.0,01:24,08:17,09:41,AI5382
35831,342,premium,Akasa Air,13/05/2021,Gangtok,Puducherry,1941.14,02:09,06:12,08:21,QP3246U
35847,342,firstClass,Air India,09/02/2021,Shimla,Kota,2606.07,02:53,21:00,23:53,AI520
35848,342,premium,Akasa Air,09/09/2021,Mumbai,Ayodhya,1283.34,01:25,12:47,14:12,QP4119R
35850,342,firstClass,AirAsia India,23/09/2021,Dehradun,Chandigarh,127.78,00:08,01:51,01:59,I52448
35852,342,economic,SpiceJet,10/07/2021,Visakhapatnam,Guwahati,1291.75,01:26,08:30,09:56,SG2192
35855,342,firstClass,SpiceJet,28/10/2021,Indore,Guwahati,1654.92,01:50,07:49,09:39,SG3902
35858,342,firstClass,GoAir,18/11/2021,Mumbai,Dehradun,1354.5,01:30,18:20,19:50,G83258
35861,342,premium,SpiceJet,12/09/2021,Dehradun,Dhubri,1264.68,01:24,16:20,17:44,SG3565
35862,342,premium,SpiceJet,16/12/2021,Ayodhya,Imphal,1195.41,01:19,07:36,08:55,SG2578
35864,342,firstClass,Akasa Air,30/12/2021,Hyderabad,Shimla,1531.19,01:42,00:31,02:13,QP5787
35865,342,premium,Air India,01/06/2022,Thiruvananthapuram,Tirupati,632.91,00:42,13:37,14:19,AI4736V
35872,342,premium,IndiGo,24/02/2022,Pune,Visakhapatnam,992.11,01:06,14:45,15:51,6E1926
35876,342,firstClass,Akasa Air,24/03/2022,Bilaspur,Khowai,991.16,01:06,22:38,23:44,QP4187
35877,342,firstClass,Air India,31/03/2022,Tirupati,Bilaspur,982.51,01:05,13:49,14:54,AI939
35879,342,firstClass,SpiceJet,14/04/2022,Puri,Delhi NCR,1324.79,01:28,10:26,11:54,SG5711
35880,342,economic,Akasa Air,21/04/2022,Visakhapatnam,Vijayawada,301.23,00:20,23:54,00:14,QP1623
35891,342,economic,Akasa Air,07/07/2022,Guwahati,Kullu-Manali,1551.58,01:43,01:59,03:42,QP788
35892,342,firstClass,SpiceJet,14/07/2022,Itanagar,Chennai,2084.89,02:18,17:57,20:15,SG5737
35893,342,firstClass,AirAsia India,21/07/2022,Hisar,Kota,3274.4,03:38,11:05,14:43,I51239
35897,342,premium,Air India,18/08/2022,Kolkata,Thiruvananthapuram,1983.91,02:12,03:27,05:39,AI3043
35903,342,economic,Akasa Air,29/09/2022,Ahmedabad,Gangtok,1680.49,01:52,01:31,03:23,QP5568
35909,342,firstClass,IndiGo,11/10/2022,Hyderabad,Dhubri,1528.4,01:41,02:02,03:43,6E4304I
35912,342,economic,SpiceJet,12/01/2022,Kolkata,Thiruvananthapuram,1983.91,02:12,05:35,07:47,SG208
35914,342,economic,Air India,15/12/2022,Dhubri,Thiruvananthapuram,2386.89,02:39,06:50,09:29,AI1975
35915,343,premium,IndiGo,26/09/2019,Shillong,Gangtok,379.72,00:25,12:18,12:43,6E3225
35919,343,premium,Akasa Air,24/10/2019,Vijayawada,Ludhiana,1673.79,01:51,02:31,04:22,QP2698
35921,343,economic,IndiGo,11/07/2019,Tirupati,Hyderabad,429.41,00:28,20:14,20:42,6E466
35924,343,firstClass,GoAir,28/11/2019,Amritsar,Jamshedpur,1485.71,01:39,04:03,05:42,G84151V
35927,343,premium,IndiGo,19/12/2019,Patna,Bhubaneswar,596.04,00:39,03:10,03:49,6E1975
35932,343,firstClass,Akasa Air,23/01/2020,Puducherry,Chandigarh,2114.03,02:20,00:28,02:48,QP3874L
35942,343,firstClass,AirAsia India,04/02/2020,Kolkata,Dehradun,1341.29,01:29,06:58,08:27,I51292U
35951,343,firstClass,IndiGo,06/04/2020,Prayagraj,Puducherry,1517.15,01:41,22:55,00:36,6E3943
35952,343,premium,Air India,06/11/2020,Gwalior,Udaipur,483.77,00:32,22:35,23:07,AI716
35954,343,firstClass,AirAsia India,25/06/2020,Navi Mumbai,Hisar,5467.58,06:04,13:06,19:10,I52073
35956,343,premium,IndiGo,07/09/2020,Gangtok,Kota,3712.59,04:07,02:05,06:12,6E786
35959,343,firstClass,Akasa Air,30/07/2020,Prayagraj,Gangtok,705.83,00:47,14:53,15:40,QP5830I
35964,343,firstClass,AirAsia India,09/03/2020,Raigarh,Bhopal,633.57,00:42,15:35,16:17,I52882
35966,343,economic,IndiGo,17/09/2020,Mopa,Dhubri,9027.81,10:01,01:21,11:22,6E5949
35975,343,firstClass,AirAsia India,19/11/2020,Gwalior,Visakhapatnam,1082.57,01:12,05:25,06:37,I54628X
35976,343,firstClass,IndiGo,26/11/2020,Diu,Dhubri,2025.09,02:15,22:30,00:45,6E2181
35977,343,premium,IndiGo,12/03/2020,Dabolim,Bengaluru,486.04,00:32,02:26,02:58,6E3855X
35980,343,economic,SpiceJet,24/12/2020,Ahmedabad,Shimla,1005.94,01:07,07:51,08:58,SG3914
35981,343,premium,SpiceJet,31/12/2020,Kota,Indore,2510.59,02:47,20:59,23:46,SG282
35982,343,economic,Air India,01/07/2021,Shimla,Ayodhya,685.0,00:45,14:58,15:43,AI4128
35983,343,firstClass,GoAir,14/01/2021,Gwalior,Shimla,550.85,00:36,18:44,19:20,G82395Q
35986,343,economic,Air India,02/04/2021,Mopa,Bilaspur,8261.64,09:10,04:04,13:14,AI5648
35989,343,premium,Akasa Air,25/02/2021,Visakhapatnam,Jaipur,1278.77,01:25,11:20,12:45,QP5079
35991,343,premium,IndiGo,03/11/2021,Kota,Raigarh,3289.6,03:39,03:50,07:29,6E4024G
35998,343,firstClass,Air India,29/04/2021,Coimbatore,Chennai,428.18,00:28,10:25,10:53,AI2877R
36001,343,firstClass,AirAsia India,20/05/2021,Kota,Diu,2084.71,02:18,09:49,12:07,I51820
36002,343,firstClass,SpiceJet,27/05/2021,Ludhiana,Vadodara,993.03,01:06,23:46,00:52,SG454C
36003,343,firstClass,Air India,06/03/2021,Dabolim,Mysuru,457.59,00:30,12:21,12:51,AI4666
36007,343,economic,Air India,07/01/2021,Mopa,Kullu-Manali,7768.07,08:37,16:59,01:36,AI2589
36011,343,firstClass,IndiGo,29/07/2021,Thiruvananthapuram,Gwalior,1977.31,02:11,15:07,17:18,6E2415
36013,343,premium,Akasa Air,08/12/2021,Prayagraj,Gwalior,377.49,00:25,16:29,16:54,QP1821
36017,343,firstClass,GoAir,09/09/2021,Dabolim,Kullu-Manali,1864.9,02:04,16:30,18:34,G83911
36018,343,premium,IndiGo,16/09/2021,Khowai,Shillong,169.93,00:11,13:31,13:42,6E4345
36022,343,economic,Air India,14/10/2021,Shillong,Gangtok,379.72,00:25,22:21,22:46,AI2800D
36032,343,firstClass,GoAir,23/12/2021,Vadodara,Thiruvananthapuram,1587.23,01:45,22:00,23:45,G81371
36036,343,economic,Air India,20/01/2022,Indore,Nashik,369.11,00:24,07:39,08:03,AI1211M
36037,343,firstClass,AirAsia India,27/01/2022,Vadodara,Surat,128.76,00:08,20:16,20:24,I52364
36038,343,economic,IndiGo,02/03/2022,Guwahati,Hisar,6560.04,07:17,20:01,03:18,6E3619
36044,343,premium,SpiceJet,17/03/2022,Vijayawada,Thiruvananthapuram,977.99,01:05,14:12,15:17,SG3231
36046,343,economic,SpiceJet,31/03/2022,Shimla,Imphal,1787.83,01:59,06:53,08:52,SG532
36052,343,premium,Akasa Air,05/12/2022,Vadodara,Shimla,1054.83,01:10,11:17,12:27,QP5549
36059,343,premium,SpiceJet,30/06/2022,Raigarh,Mumbai,1138.99,01:15,15:31,16:46,SG4498
36061,343,firstClass,Akasa Air,14/07/2022,Surat,Mumbai,236.14,00:15,19:12,19:27,QP4302
36065,344,firstClass,AirAsia India,17/10/2019,Puducherry,Jaipur,1719.0,01:54,21:40,23:34,I53496
36066,344,firstClass,IndiGo,24/10/2019,Gwalior,Mopa,7848.89,08:43,07:39,16:22,6E5487
36070,344,firstClass,Air India,21/11/2019,Imphal,Nashik,2137.34,02:22,14:42,17:04,AI5216
36075,344,firstClass,Akasa Air,26/12/2019,Puducherry,Vijayawada,516.13,00:34,06:16,06:50,QP4029
36083,344,firstClass,GoAir,20/02/2020,Amritsar,Puducherry,2247.39,02:29,04:07,06:36,G8133
36089,344,firstClass,Air India,04/02/2020,Bilaspur,Ayodhya,524.76,00:34,23:45,00:19,AI3870
36091,344,firstClass,Air India,16/04/2020,Vadodara,Jamshedpur,1333.43,01:28,00:03,01:31,AI4736
36094,344,firstClass,IndiGo,05/07/2020,Chandigarh,Shimla,54.56,00:03,15:06,15:09,6E2056K
36099,344,firstClass,GoAir,06/11/2020,Ludhiana,Pune,1392.59,01:32,19:33,21:05,G85598
36104,344,economic,Air India,16/07/2020,Surat,Jamshedpur,1387.95,01:32,05:22,06:54,AI3205I
36105,344,economic,Air India,23/07/2020,Ranchi,Vadodara,1245.31,01:23,09:54,11:17,AI109
36106,344,premium,SpiceJet,30/07/2020,Tirupati,Bhubaneswar,1004.65,01:06,07:02,08:08,SG2599
36109,344,premium,IndiGo,20/08/2020,Surat,Kullu-Manali,1262.77,01:24,03:46,05:10,6E1515L
36110,344,economic,IndiGo,27/08/2020,Patna,Mopa,8546.48,09:29,21:22,06:51,6E5469
36111,344,economic,Air India,09/03/2020,Itanagar,Dehradun,1559.75,01:43,04:53,06:36,AI1835
36113,344,economic,Air India,17/09/2020,Diu,Bilaspur,1166.42,01:17,14:33,15:50,AI4785Q
36114,344,premium,SpiceJet,24/09/2020,Vadodara,Kota,2257.77,02:30,23:37,02:07,SG611
36116,344,premium,SpiceJet,10/08/2020,Surat,Pune,316.32,00:21,15:51,16:12,SG4746
36118,344,economic,IndiGo,22/10/2020,Vadodara,Nashik,263.02,00:17,12:40,12:57,6E4953
36119,344,premium,IndiGo,29/10/2020,Khowai,Dabolim,2092.87,02:19,17:52,20:11,6E2350
36121,344,premium,SpiceJet,11/12/2020,Gangtok,Vijayawada,1455.73,01:37,21:51,23:28,SG853W
36125,344,premium,SpiceJet,12/10/2020,Raipur,Ranchi,445.04,00:29,09:40,10:09,SG5605
36127,344,premium,Akasa Air,24/12/2020,Mysuru,Visakhapatnam,924.41,01:01,18:25,19:26,QP2226
36129,344,premium,IndiGo,01/07/2021,Khowai,Delhi NCR,1533.62,01:42,13:14,14:56,6E2306
36135,344,firstClass,GoAir,18/02/2021,Gangtok,Indore,1384.8,01:32,01:24,02:56,G83387Q
36141,344,firstClass,GoAir,04/01/2021,Prayagraj,Vadodara,944.84,01:02,02:48,03:50,G85462
36149,345,economic,Akasa Air,14/11/2019,Thiruvananthapuram,Jamshedpur,1872.46,02:04,02:13,04:17,QP3203
36152,345,economic,Air India,12/05/2019,Prayagraj,Bhubaneswar,705.55,00:47,14:10,14:57,AI1788
36161,345,premium,Air India,02/06/2020,Mumbai,Ranchi,1372.22,01:31,01:29,03:00,AI638
36162,345,firstClass,GoAir,13/02/2020,Jaipur,Raigarh,951.13,01:03,21:02,22:05,G83335
36164,345,premium,SpiceJet,27/02/2020,Guwahati,Udaipur,1818.73,02:01,05:44,07:45,SG5413
36165,345,firstClass,Akasa Air,03/05/2020,Ayodhya,Gangtok,637.09,00:42,01:18,02:00,QP4852
36166,345,economic,IndiGo,03/12/2020,Shillong,Vadodara,1930.74,02:08,16:41,18:49,6E5590
36175,345,firstClass,SpiceJet,14/05/2020,Gwalior,Navi Mumbai,958.81,01:03,10:02,11:05,SG3999
36177,345,premium,Air India,28/05/2020,Raigarh,Bhopal,633.57,00:42,12:33,13:15,AI3255
36181,345,premium,IndiGo,25/06/2020,Imphal,Chandigarh,1809.47,02:00,18:47,20:47,6E2740
36183,345,firstClass,IndiGo,07/09/2020,Nashik,Raipur,827.58,00:55,23:12,00:07,6E1385
36184,345,economic,IndiGo,16/07/2020,Chandigarh,Indore,896.62,00:59,19:59,20:58,6E5122J
36187,345,premium,Akasa Air,08/06/2020,Hyderabad,Ranchi,974.02,01:04,12:43,13:47,QP3974
36188,345,firstClass,AirAsia India,13/08/2020,Ranchi,Ayodhya,495.38,00:33,20:23,20:56,I55670V
36189,345,firstClass,IndiGo,20/08/2020,Ayodhya,Dhubri,779.63,00:51,05:35,06:26,6E3149L
36190,345,firstClass,GoAir,27/08/2020,Jamshedpur,Nashik,1320.05,01:28,05:48,07:16,G82490
36193,345,firstClass,Air India,17/09/2020,Khowai,Vadodara,1889.19,02:05,12:54,14:59,AI1226A
36196,345,economic,Akasa Air,10/08/2020,Dhubri,Surat,1826.57,02:01,11:20,13:21,QP4151
36201,345,firstClass,GoAir,11/12/2020,Mysuru,Tirupati,336.01,00:22,09:08,09:30,G85503M
36205,345,premium,Air India,12/10/2020,Vijayawada,Thiruvananthapuram,977.99,01:05,14:11,15:16,AI3371
36207,345,firstClass,AirAsia India,24/12/2020,Mumbai,Surat,236.14,00:15,05:54,06:09,I51237
36210,345,firstClass,Akasa Air,14/01/2021,Bhopal,Delhi NCR,601.97,00:40,03:50,04:30,QP5578
36219,345,firstClass,GoAir,18/03/2021,Ludhiana,Udaipur,734.24,00:48,10:36,11:24,G8461
36220,345,firstClass,IndiGo,25/03/2021,Shillong,Mysuru,2175.1,02:25,13:18,15:43,6E1299
36221,345,firstClass,GoAir,04/01/2021,Itanagar,Ayodhya,1130.61,01:15,11:29,12:44,G81626
36222,345,economic,IndiGo,04/08/2021,Bhopal,Prayagraj,511.46,00:34,17:16,17:50,6E4290X
36223,345,firstClass,GoAir,15/04/2021,Puri,Imphal,1003.58,01:06,07:03,08:09,G81784
36225,345,economic,SpiceJet,29/04/2021,Diu,Kolkata,1807.13,02:00,14:55,16:55,SG5989
36228,345,premium,Air India,20/05/2021,Indore,Dhubri,1478.8,01:38,23:56,01:34,AI3962
36231,345,economic,Akasa Air,06/10/2021,Patna,Indore,996.2,01:06,08:10,09:16,QP2947
36242,346,firstClass,IndiGo,31/10/2019,Ahmedabad,Navi Mumbai,445.78,00:29,08:25,08:54,6E2231
36243,346,economic,Akasa Air,11/07/2019,Itanagar,Patna,860.43,00:57,08:02,08:59,QP5732
36247,346,premium,IndiGo,12/05/2019,Nashik,Bilaspur,898.28,00:59,04:58,05:57,6E4241
36249,346,economic,Akasa Air,19/12/2019,Ranchi,Ayodhya,495.38,00:33,19:25,19:58,QP994R
36252,346,firstClass,Akasa Air,01/09/2020,Indore,Bhopal,171.4,00:11,13:21,13:32,QP4272
36254,346,premium,IndiGo,23/01/2020,Patna,Jaipur,943.53,01:02,15:36,16:38,6E939
36263,346,economic,Air India,26/03/2020,Navi Mumbai,Chandigarh,1355.13,01:30,17:55,19:25,AI5780
36270,346,firstClass,IndiGo,14/05/2020,Coimbatore,Visakhapatnam,1000.71,01:06,08:38,09:44,6E3449
36289,346,premium,Akasa Air,24/09/2020,Dhubri,Ahmedabad,1789.82,01:59,21:49,23:48,QP715
36291,346,firstClass,Air India,10/08/2020,Gwalior,Kullu-Manali,635.66,00:42,18:25,19:07,AI3088X
36305,346,economic,Air India,14/01/2021,Chandigarh,Jaipur,435.44,00:29,19:37,20:06,AI1569K
36309,346,premium,Air India,02/11/2021,Prayagraj,Vijayawada,1001.5,01:06,13:26,14:32,AI3177
36310,346,economic,SpiceJet,18/02/2021,Puducherry,Itanagar,2215.2,02:27,21:03,23:30,SG1338W
36318,346,economic,Air India,15/04/2021,Khowai,Ahmedabad,1940.48,02:09,09:12,11:21,AI3969
36321,346,economic,IndiGo,05/06/2021,Vadodara,Bengaluru,1136.25,01:15,14:57,16:12,6E4471
36324,346,premium,IndiGo,27/05/2021,Tirupati,Gangtok,1796.6,01:59,13:52,15:51,6E2712
36326,346,firstClass,Air India,06/10/2021,Raipur,Patna,602.27,00:40,06:42,07:22,AI1392
36329,346,premium,SpiceJet,07/01/2021,Jaipur,Surat,703.65,00:46,01:23,02:09,SG2336
36333,346,firstClass,Air India,29/07/2021,Mopa,Prayagraj,8216.94,09:07,11:19,20:26,AI300
36340,346,firstClass,SpiceJet,16/09/2021,Gangtok,Navi Mumbai,1838.94,02:02,14:28,16:30,SG4585
36344,346,premium,Akasa Air,14/10/2021,Raigarh,Imphal,1123.94,01:14,07:14,08:28,QP1268
36346,346,firstClass,SpiceJet,28/10/2021,Mopa,Nashik,7399.47,08:13,08:34,16:47,SG4196
36352,346,firstClass,GoAir,12/09/2021,Chennai,Vijayawada,382.3,00:25,07:04,07:29,G83430
36361,346,premium,Akasa Air,02/10/2022,Chennai,Udaipur,1452.49,01:36,02:15,03:51,QP5284
36362,346,economic,Air India,17/02/2022,Itanagar,Patna,860.43,00:57,18:13,19:10,AI5995
36364,346,firstClass,AirAsia India,03/03/2022,Patna,Chennai,1480.58,01:38,02:09,03:47,I51812
36365,346,firstClass,AirAsia India,03/10/2022,Pune,Hisar,5572.52,06:11,20:19,02:30,I5276R
36371,346,firstClass,Air India,21/04/2022,Vijayawada,Hyderabad,252.53,00:16,17:40,17:56,AI4434
36373,346,firstClass,Air India,05/05/2022,Amritsar,Shimla,225.04,00:15,14:44,14:59,AI4020
36374,346,premium,Air India,05/12/2022,Hisar,Bhubaneswar,6448.97,07:09,07:15,14:24,AI2510
36375,346,economic,SpiceJet,19/05/2022,Amritsar,Vijayawada,1779.0,01:58,13:18,15:16,SG979
36378,346,firstClass,Air India,06/09/2022,Ranchi,Dhubri,558.25,00:37,21:48,22:25,AI4606
36393,347,economic,SpiceJet,26/12/2019,Nashik,Jamshedpur,1320.05,01:28,00:46,02:14,SG1017
36394,347,firstClass,SpiceJet,01/02/2020,Puducherry,Kullu-Manali,2234.4,02:28,20:12,22:40,SG963
36395,347,firstClass,Air India,01/09/2020,Kolkata,Udaipur,1509.1,01:40,17:24,19:04,AI1912
36399,347,economic,IndiGo,02/06/2020,Hisar,Pune,5572.52,06:11,12:10,18:21,6E4091
36402,347,firstClass,IndiGo,27/02/2020,Ayodhya,Kota,3085.51,03:25,00:55,04:20,6E2841
36406,348,firstClass,Akasa Air,17/10/2019,Ayodhya,Puducherry,1671.47,01:51,02:54,04:45,QP4774
36407,348,firstClass,AirAsia India,24/10/2019,Navi Mumbai,Shillong,2069.77,02:17,04:31,06:48,I55991
36410,348,economic,SpiceJet,14/11/2019,Kullu-Manali,Chandigarh,131.49,00:08,20:56,21:04,SG2926
36412,348,firstClass,Akasa Air,28/11/2019,Mumbai,Nashik,140.1,00:09,06:00,06:09,QP3181H
36416,348,premium,Air India,26/12/2019,Ayodhya,Dehradun,565.21,00:37,04:08,04:45,AI4017
36420,348,firstClass,GoAir,23/01/2020,Kolkata,Bhopal,1124.95,01:14,07:09,08:23,G8655
36423,348,economic,Akasa Air,13/02/2020,Amritsar,Nashik,1297.17,01:26,15:06,16:32,QP1486S
36427,348,economic,SpiceJet,03/12/2020,Dehradun,Raipur,1072.99,01:11,22:46,23:57,SG5128
36428,348,premium,SpiceJet,19/03/2020,Kolkata,Kullu-Manali,1515.03,01:41,12:26,14:07,SG5616
36430,348,firstClass,Akasa Air,04/02/2020,Pune,Imphal,2187.75,02:25,00:51,03:16,QP291
36432,348,firstClass,Air India,16/04/2020,Gwalior,Coimbatore,1697.6,01:53,16:36,18:29,AI5640
36434,348,economic,Air India,30/04/2020,Varanasi,Puducherry,1525.15,01:41,10:06,11:47,AI5355X
36436,348,firstClass,SpiceJet,14/05/2020,Imphal,Raipur,1320.45,01:28,01:06,02:34,SG3721
36437,348,premium,IndiGo,21/05/2020,Thiruvananthapuram,Ranchi,1876.95,02:05,09:33,11:38,6E4699
36438,348,premium,Air India,28/05/2020,Jaipur,Puri,1293.96,01:26,12:06,13:32,AI1410A
36439,348,economic,Air India,06/04/2020,Ludhiana,Itanagar,1776.27,01:58,22:40,00:38,AI5140
36441,348,economic,SpiceJet,18/06/2020,Vijayawada,Bhubaneswar,688.97,00:45,16:59,17:44,SG3593
36445,348,premium,IndiGo,16/07/2020,Guwahati,Kolkata,528.68,00:35,20:36,21:11,6E5462
36450,348,premium,IndiGo,20/08/2020,Bilaspur,Itanagar,1284.24,01:25,11:08,12:33,6E4575V
36452,348,firstClass,SpiceJet,09/03/2020,Tirupati,Nashik,926.76,01:01,00:21,01:22,SG2456
36454,348,firstClass,GoAir,17/09/2020,Bengaluru,Bilaspur,1122.06,01:14,09:20,10:34,G81124
36459,348,economic,SpiceJet,22/10/2020,Mysuru,Gwalior,1557.45,01:43,23:01,00:44,SG5800M
36462,348,firstClass,Air India,11/12/2020,Raipur,Bengaluru,1013.79,01:07,08:38,09:45,AI948
36463,348,firstClass,Air India,19/11/2020,Bhubaneswar,Hisar,6448.97,07:09,20:35,03:44,AI1233I
36464,348,firstClass,Akasa Air,26/11/2020,Itanagar,Guwahati,210.71,00:14,05:23,05:37,QP2744
36465,348,firstClass,GoAir,12/03/2020,Puri,Mumbai,1359.18,01:30,06:27,07:57,G81776
36475,348,firstClass,Air India,02/11/2021,Nashik,Ranchi,1246.56,01:23,07:24,08:47,AI1389L
36479,348,firstClass,AirAsia India,03/11/2021,Thiruvananthapuram,Hyderabad,1002.83,01:06,22:22,23:28,I53956O
36481,348,premium,IndiGo,25/03/2021,Ahmedabad,Coimbatore,1415.0,01:34,23:05,00:39,6E1920
36484,348,firstClass,Air India,15/04/2021,Bhopal,Gwalior,339.84,00:22,02:30,02:52,AI4982
36487,348,premium,Akasa Air,05/06/2021,Imphal,Visakhapatnam,1365.63,01:31,21:14,22:45,QP4577W
36488,348,firstClass,GoAir,13/05/2021,Udaipur,Navi Mumbai,621.21,00:41,13:46,14:27,G8323
36489,348,economic,Air India,20/05/2021,Vadodara,Kolkata,1557.26,01:43,01:07,02:50,AI2740
36492,348,premium,Akasa Air,06/10/2021,Pune,Dehradun,1378.76,01:31,17:38,19:09,QP2429W
